article_id,accident_id,date_time,accident_type,car_type,location,road_name,text_start_char,text_end_char
496815,0,2025-02-09 00:00:00,collision,,Marsascala,,0,483
496816,0,2025-07-26 08:00:00,collision,motorcycle,Pembroke,old man residing in St,0,645
496817,0,2025-07-01 00:00:00,collision,,Zebbug,,0,445
496818,0,2024-12-23 08:00:00,collision,bus,,Magistrate Dr,0,732
496819,0,2025-02-01 00:00:00,collision,,Hal Farrug Road,Hal Farrug Road,0,328
496819,1,2025-02-01 00:00:00,collision,motorcycle,"Demio, Gzira",Argens Street,328,851
496820,0,2025-02-17 00:00:00,collision,,"Giorgio Borg Olivier Street, Victoria",Giorgio Borg Olivier Street,0,627
496821,0,2025-04-13 00:00:00,collision,car,"the Coast Road, Naxxar",the Coast Road,0,1124
496822,0,2025-01-16 00:00:00,collision,motorcycle,Triq il-,,0,503
496823,0,2025-06-04 00:00:00,collision,motorcycle,"Kennedy Drive, St Paul's",Kennedy Drive,0,552
496824,0,2025-10-06 00:00:00,collision,,Triq il-Kappella Ta',,0,466
496825,0,2025-08-10 18:00:00,motorcycle_fall,motorcycle,"Mosta Road, San Gwann",Mosta Road,0,445
496826,0,2025-01-25 15:00:00,collision,motorcycle,"the Coast Road, Naxxar",the Coast Road,0,546
496827,0,2025-08-06 00:00:00,unknown,,,,0,117
496827,1,2025-08-07 00:00:00,collision,motorcycle,Salina Street,Salina Street,117,392
496827,2,2025-08-07 00:00:00,collision,motorcycle,Cospicua Road,Cospicua Road,392,936
496828,0,2024-12-27 12:00:00,collision,truck,Triq il-Hotba,,0,489
496829,0,2025-08-17 15:00:00,collision,motorcycle,"the Coast Road, Belgium",the Coast Road,0,656
496830,0,2025-09-16 00:00:00,collision,,"Republic Street, Victoria",Republic Street,0,463
496831,0,2024-12-25 00:00:00,rollover,,St,traffic accident in Mikiel Anton Vassalli Street,0,554
496832,0,2025-05-27 15:00:00,collision,motorcycle,"Bay BypassFrom, St Paul's",traffic accident in St,0,554
496833,0,2025-04-18 08:00:00,collision,motorcycle,Rabat,Magistrate Dr,0,615
496834,0,2025-05-24 00:00:00,collision,motorcycle,"Aldo Moro Street, Marsa",Aldo Moro Street,0,518
496835,0,2024-12-19 00:00:00,collision,,Balzan,,0,466
496836,0,2025-03-28 00:00:00,unknown,truck,Tal-Balal Road,Tal-Balal Road,0,512
496837,0,2025-07-09 00:00:00,collision,car,Msida,traffic accident in Mikiel Anton Vassalli Street,0,538
496838,0,2025-09-25 00:00:00,collision,motorcycle,"Republic Street, St Julian's",Republic Street,0,525
496839,0,2025-08-04 00:00:00,collision,,Gharghur,,0,470
496840,0,2024-12-22 00:00:00,unknown,motorcycle,Salini Street,Salini Street,0,823
496841,0,2025-07-23 00:00:00,collision,,Gzira,,0,464
496842,0,2025-07-24 08:00:00,rollover,car,"Triq San Anard, Marsascala",Magistrate Dr,0,670
496843,0,2025-05-02 15:00:00,collision,motorcycle,Triq L-Imgarr,Magistrate Dr,0,633
496844,0,2025-02-16 00:00:00,collision,bike,Triq il-Kilpa,,0,470
496845,0,2025-02-04 00:00:00,collision,motorcycle,Triq Alfredo Cachia Zammit,,0,603
496846,0,2025-07-10 00:00:00,collision,,Siggiewi,,0,460
496847,0,2025-09-04 00:00:00,collision,motorcycle,Triq Ix-Xatt,,0,632
496848,0,2025-04-13 00:00:00,collision,,Birzebbuga Road,traffic accident in Birzebbuga Road,0,462
496849,0,2025-07-24 00:00:00,collision,motorcycle,"Salina Road, Mellieha",Salina Road,0,428
496850,0,2025-05-12 00:00:00,collision,motorcycle,Sliema,traffic accident in St Joseph High Road,0,507
496851,0,2025-02-03 00:00:00,collision,,Triq il-Palma,,0,463
496852,0,2025-01-15 00:00:00,collision,motorcycle,Marsa,,0,385
496852,1,2025-01-15 00:00:00,motorcycle_fall,motorcycle,Ghaxaq,,385,826
496853,0,2025-06-12 00:00:00,collision,,Marsascala,Magistrate Dr,0,728
496854,0,2025-09-20 00:00:00,collision,motorcycle,Gozo,,0,1280
