article_id,accident_id,date_time,accident_type,location,road_name,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
361,0,2025-06-21 13:15:00,unknown,Floriana,,0,443,29.0,0.0,11.8,1.0,0.0
313,0,2025-06-23 08:00:00,collision,Tal-Qroqq,the Regional Road,0,752,27.1,0.0,9.3,0.0,0.0
287,0,2025-06-25 07:00:00,collision,Sliema,the Regional Road,0,505,26.5,0.0,13.0,0.0,0.0
113265,0,2025-07-05 08:00:00,collision,Mellieha,,0,442,28.7,0.0,4.4,0.0,0.0
190828,0,2025-07-06 00:00:00,collision,Mosta,,0,496,25.1,0.0,0.2,0.0,0.0
139548,0,2025-07-09 18:00:00,collision,Mosta,,0,473,26.8,0.0,25.2,0.0,0.0
102356,0,2025-07-14 00:00:00,collision,Bidnija,The alleged road rage incident shows the large vehicle driving straight into the car on the road,0,1446,25.0,0.0,9.7,0.0,0.0
220724,0,2025-07-14 11:00:00,collision,Marsaxlokk,Melqart Street,0,443,32.7,0.0,8.9,0.0,0.0
167578,0,2025-07-15 00:00:00,collision,St Paul's Bay,woman crossing the road,0,1823,26.2,0.0,12.6,0.0,0.0
141175,0,2025-07-17 13:15:00,collision,Gzira,Police investigations are under way,0,517,29.2,0.0,21.2,0.0,0.0
130030,0,2025-07-16 17:00:00,collision,L-Imqabba,,0,418,28.7,0.0,12.2,1.0,0.0
226588,0,2025-07-17 21:00:00,collision,Birkirkara,Birkirkara Valley Road,0,541,25.2,0.0,20.2,4.0,0.0
297731,0,2025-07-18 15:00:00,collision,,,0,288,26.0,0.0,11.8,0.0,0.0
297731,1,2025-07-19 16:30:00,collision,,,289,608,25.8,0.0,4.0,0.0,0.0
455412,0,2025-07-18 15:00:00,collision,Balluta,when the craft struck each other in the popular St,0,594,30.2,0.0,9.9,7.0,0.0
450477,0,2025-07-19 00:00:00,collision,Buqana,Magistrate Dr,0,616,24.2,0.0,2.3,0.0,0.0
297729,0,2025-07-20 12:30:00,collision,Swieqi,the Regional Road,0,2992,30.3,0.0,10.7,0.0,0.0
353524,0,2025-07-23 00:00:00,collision,Wied,clear road,0,3247,27.9,0.0,19.1,0.0,0.0
353518,0,2025-07-23 08:00:00,collision,Mosta,,0,900,29.4,0.0,0.5,0.0,0.0
353565,0,2025-07-24 08:00:00,collision,Naxxar,Police investigations are under way,0,485,29.6,0.0,5.6,0.0,0.0
353525,0,2025-07-24 08:00:00,rollover,Tarxien,,0,591,30.9,0.0,5.6,0.0,0.0
386207,0,2025-07-26 08:00:00,collision,Pembroke,old man from St,0,476,32.6,0.0,4.5,4.0,0.0
386270,0,2025-07-27 18:35:00,collision,Fgura,the busy Fgura road,0,1042,26.1,0.0,26.8,0.0,0.0
450529,0,2025-07-27 11:45:00,collision,Sliema,,0,522,28.7,0.0,32.0,0.0,0.0
386182,0,2025-07-28 00:00:00,unknown,,,0,8,25.8,0.0,42.8,0.0,0.0
386182,1,2025-07-27 18:00:00,collision,and,Marina Street,9,611,26.2,0.0,47.0,0.0,0.0
386182,2,2025-07-28 22:00:00,collision,,Ford Fiesta which was stopped by the side of the road,612,1104,25.5,0.0,42.8,0.0,0.0
386315,0,2025-07-27 22:00:00,collision,Hamrun,Ford Fiesta which was stopped by the side of the road,0,947,25.6,0.0,28.7,0.0,0.0
386315,1,2025-07-28 18:00:00,collision,,Marina Street,948,1137,25.8,0.0,43.1,0.0,0.0
386315,2,2025-07-28 15:00:00,collision,,the busy Fgura road,1138,1611,26.0,0.0,44.4,0.0,0.0
451726,0,2025-07-29 13:45:00,collision,Naxxar,,0,297,27.2,0.0,26.7,0.0,0.0
451726,1,2025-07-26 08:00:00,collision,two,,298,903,32.7,0.0,4.5,4.0,0.0
467167,0,2025-07-30 09:15:00,collision,Floriana,,0,1989,26.3,0.0,18.3,24.0,1.0
467110,0,2025-07-29 18:00:00,unknown,Hal Ghaxaq,,0,463,25.3,0.0,26.6,0.0,0.0
489424,0,2025-08-03 01:00:00,collision,Mosta,result of chronic failure to prioritise safety in road,0,2678,23.5,0.0,12.4,0.0,0.0
489339,0,2025-08-04 18:40:00,collision,Marsa,Mosta Road,0,1411,25.9,0.0,14.4,0.0,0.0
489475,0,2025-08-04 15:30:00,collision,Fgura,the busy Fgura road,0,1189,28.2,0.0,20.9,0.0,0.0
489370,0,2025-08-04 15:30:00,collision,Marsa,Aldo Moro Street,0,382,28.2,0.0,20.9,0.0,0.0
489370,1,2025-08-05 17:00:00,collision,,,383,785,24.8,0.0,24.9,0.0,0.0
489720,0,2025-08-06 00:00:00,collision,Naxxar,old Bulgarian resident of St,0,368,24.0,0.0,12.2,0.0,0.0
489720,1,2025-08-07 00:00:00,collision,,,369,823,25.0,0.0,13.4,0.0,0.0
489728,0,2025-08-06 00:00:00,collision,Naxxar,old Bulgarian resident of St,0,404,24.0,0.0,12.2,0.0,0.0
489728,1,2025-08-07 00:00:00,collision,serious,,405,879,25.0,0.0,13.4,0.0,0.0
489733,0,2025-08-07 09:56:00,collision,Santa Venera,Salon on Cannon Road,0,696,28.7,0.0,8.5,0.0,0.0
490010,0,2025-08-09 08:00:00,rollover,San Gwann,The road,0,595,28.1,0.0,11.9,0.0,0.0
489990,0,2025-08-07 08:00:00,collision,Santa Venera,Canon Road,0,1756,26.4,0.0,10.2,3.0,0.0
489878,0,2025-08-10 17:42:00,collision,Birkirkara,call road,0,1213,28.8,0.0,7.1,0.0,0.0
489889,0,2025-08-10 12:30:00,collision,Birkirkara,,0,1162,31.5,0.0,11.7,0.0,0.0
489884,0,2025-08-10 09:00:00,collision,Floriana,car on National Road,0,327,31.0,0.0,5.8,0.0,0.0
490008,0,2025-08-07 08:00:00,collision,,Cannon Road,0,1053,24.4,0.0,17.5,4.0,0.0
490101,0,2025-08-10 05:25:00,collision,Birkirkara,in Psaila Street,0,1507,24.4,0.0,8.1,0.0,0.0
490073,0,2025-08-11 12:00:00,collision,,in Psaila Street,0,743,25.3,0.0,4.3,0.0,0.0
489993,0,2025-08-10 19:00:00,collision,Mosta,Mosta Road,0,323,27.2,0.0,6.2,0.0,0.0
489993,1,2025-08-10 00:00:00,collision,,,323,520,26.5,0.0,15.0,0.0,0.0
490183,0,2025-08-12 08:00:00,collision,Valletta,Fort St Elmo,0,2971,28.5,0.0,5.7,0.0,0.0
490165,0,2025-08-12 08:00:00,collision,,in St,0,436,25.5,0.0,4.2,0.0,0.0
490160,0,2025-08-10 05:25:00,collision,Birkirkara,,0,3375,24.4,0.0,8.1,0.0,0.0
490329,0,2025-08-13 00:00:00,collision,Marsa,Aldo Moro Road,0,1231,25.6,0.0,7.6,0.0,0.0
490371,0,2025-08-14 08:00:00,collision,Pembroke,the Coast Road,0,635,28.3,0.0,3.8,0.0,0.0
490568,0,2025-08-14 05:30:00,collision,Pembroke,,0,491,24.7,0.0,1.9,0.0,0.0
490568,1,2025-08-10 08:00:00,unknown,,,492,690,25.4,0.0,7.0,0.0,0.0
490632,0,2025-08-17 00:00:00,rollover,Marsa,Aldo Moro Road,0,1265,25.8,0.0,5.1,23.0,1.0
490684,0,2025-08-17 15:00:00,collision,Naxxar,The northbound lane of the coast road,0,492,28.7,0.0,14.2,7.0,0.0
490653,0,2025-08-14 08:00:00,collision,Pembroke,,0,1077,28.3,0.0,3.8,0.0,0.0
490697,0,2025-08-18 00:00:00,collision,Valletta,written by NGO Doctors For Road,0,3270,24.9,0.0,4.8,0.0,0.0
490746,0,2025-08-18 00:00:00,collision,Santa Venera,Cannon Road,0,3673,24.9,0.0,4.8,0.0,0.0
490815,0,2025-08-18 08:00:00,pedestrian,Zabbar,,0,343,27.2,0.0,7.8,21.0,1.0
491011,0,2025-08-21 08:00:00,collision,Sliema,Tower Road,0,361,29.0,0.0,18.2,0.0,0.0
491118,0,2025-08-21 00:00:00,unknown,,to address road,0,158,26.9,0.0,24.9,0.0,0.0
491118,1,2025-08-21 06:00:00,collision,just,Tower Road,159,2144,26.1,0.0,14.2,0.0,0.0
491226,0,2025-08-22 08:00:00,collision,Birkirkara,on Sir Anthony Mamo street,0,910,27.2,0.0,13.9,0.0,0.0
491307,0,2025-08-22 05:30:00,collision,Birkirkara,on Friday on Sir Anthony Mamo Street,0,786,25.3,0.0,13.1,0.0,0.0
491334,0,2025-08-24 00:00:00,collision,Pembroke,,0,868,24.9,0.0,17.3,0.0,0.0
491371,0,2025-08-24 00:00:00,collision,Sliema,Tower Road,0,1869,25.0,0.0,17.3,0.0,0.0
491489,0,2025-08-22 05:30:00,collision,Birkirkara,on Sir Anthony Mamo Street,0,1151,25.3,0.0,13.1,0.0,0.0
491557,0,2025-08-26 05:10:00,collision,Sliema,Tower Road,0,397,22.6,0.0,0.4,100.0,3.0
491707,0,2025-08-26 18:00:00,collision,Zebbug,Attard Road,0,493,26.0,0.0,19.7,2.0,0.0
491720,0,2025-08-27 08:00:00,collision,Bahar,old Bulgarian national living in St,0,1290,27.0,0.0,4.3,0.0,0.0
492026,0,2025-08-29 08:00:00,collision,Bahar,old Bulgarian national living in St,0,1366,27.9,0.0,12.9,0.0,0.0
492029,0,2025-08-27 21:00:00,collision,Rabat,The couple live in St,0,1898,25.0,0.0,15.1,0.0,0.0
