person_id,article_id,age,gender,severity,is_driver,vehicle_type,person_state
365,489889,42,male,fatal,True,motorcycle,
366,489889,17,,,True,,
367,489889,18,female,grievous,False,,
368,489889,,,,False,,
369,489884,72,male,serious,False,,
370,489884,78,male,,False,,
371,490008,42,male,light,True,,drunk
372,490101,42,male,,False,,
373,490101,17,male,,True,car,
374,490101,18,female,,False,,
375,490101,,,,False,,
376,490073,,male,,True,car,
377,490073,42,,fatal,True,motorcycle,
378,490073,18,female,,False,,
379,490073,,,,False,,
380,490073,,female,,False,,
381,489993,33,male,serious,False,,
382,490183,23,male,,True,,drunk
383,490183,62,female,grievous,False,,
384,490165,,male,,False,,
385,490165,,,,True,,
386,490160,39,female,fatal,False,,
387,490160,,,,True,,
388,490160,42,,,False,,
389,490160,17,,fatal,True,,drunk
390,490160,6,,,False,,
391,490160,,male,,False,,
392,490329,17,,fatal,True,car,
393,490329,42,male,fatal,False,,
394,490329,28,,,True,,
395,490371,21,male,serious,True,motorcycle,
396,490568,21,male,fatal,True,motorcycle,
397,490568,,,,True,,
398,490568,,,fatal,False,,
399,490568,,,,True,motorcycle,
400,490632,28,male,fatal,True,,
401,490684,53,male,,True,motorcycle,
402,490684,,,,True,,
403,490697,43,,,True,motorcycle,
404,490697,62,female,,False,,drunk
405,490697,42,,,False,,
406,490697,17,male,,True,car,
407,490697,,,,True,,
408,490746,42,male,,True,,
409,490746,,,,False,,
410,490815,75,male,grievous,False,,
411,490815,29,male,,False,,
412,491118,,male,,True,car,drunk
413,491226,,male,serious,True,motorcycle,
414,491226,,male,,False,,
415,491226,,male,,False,,
416,491226,,,,True,,
417,491226,,,,False,,
418,491307,57,male,serious,True,motorcycle,
419,491307,,female,,False,,
420,491307,,male,,True,,
421,491334,27,male,,True,motorcycle,
422,491334,,,,True,,
423,491334,22,,,True,car,
424,491371,,male,,True,car,drunk
425,491371,,,,False,,
426,491371,17,male,fatal,False,,
427,491371,,,,False,,
428,491489,57,male,serious,True,motorcycle,
429,491489,,male,serious,False,,
430,491489,25,female,,False,,
431,491489,,male,,False,,
432,491489,17,,,True,,
433,491557,,,,True,car,
434,491707,,male,grievous,True,car,
