article_id,accident_id,date_time,accident_type,location,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
496782,0,2024-12-28 09:15:00,collision,Zabbar,0,939,14.9,0.0,13.2,9.0,0.0
496783,0,2025-02-10 16:00:00,collision,Haz-Zabbar,0,525,13.6,0.0,25.0,95.0,3.0
496784,0,2025-02-26 20:00:00,collision,Kalkara,0,451,13.9,0.2,21.6,93.0,51.0
496785,0,2025-03-26 17:00:00,collision,Ghajnsielem,0,471,15.3,0.0,35.9,0.0,0.0
496786,0,2025-06-13 22:00:00,collision,Xewkija,0,456,23.7,0.0,6.8,0.0,0.0
496787,0,2025-08-17 10:00:00,collision,Valletta,0,466,27.6,0.0,8.6,19.0,0.0
496788,0,2025-04-17 00:00:00,collision,Santa Lucija,0,454,16.4,0.0,24.5,100.0,3.0
496789,0,2025-01-21 14:00:00,collision,,0,568,16.1,0.0,29.6,20.0,1.0
496790,0,2024-11-09 17:00:00,collision,,0,468,20.7,0.0,15.2,87.0,3.0
496791,0,2025-02-21 13:30:00,collision,Floriana,0,484,14.8,0.4,16.1,60.0,51.0
496792,0,2025-09-13 21:00:00,collision,Marsa,0,561,24.8,0.0,3.1,0.0,0.0
496793,0,2025-08-29 15:15:00,collision,Marsa,0,588,28.5,0.0,25.0,100.0,3.0
496794,0,2024-09-22 23:00:00,collision,Gudja,0,734,23.3,0.0,7.9,100.0,3.0
496795,0,2025-03-26 08:00:00,collision,,0,481,15.8,3.8,28.5,100.0,63.0
496796,0,2025-05-07 13:15:00,collision,Ghar,0,537,24.5,0.0,11.2,100.0,3.0
496797,0,2024-11-25 23:00:00,collision,Marsa,0,563,15.3,0.0,2.0,25.0,1.0
496798,0,2025-03-05 10:00:00,collision,Marsa,0,525,15.3,0.0,20.4,12.0,0.0
496799,0,2024-10-10 16:00:00,collision,Attard,0,624,27.9,0.0,10.2,74.0,2.0
496800,0,2025-06-30 04:00:00,collision,Gudja,0,996,24.6,0.0,6.7,0.0,0.0
496801,0,2025-05-04 14:00:00,collision,Marsa,0,506,25.0,0.0,13.8,100.0,3.0
496802,0,2025-06-11 22:00:00,collision,Zurrieq,0,592,22.9,0.0,4.7,8.0,0.0
496803,0,2025-02-21 14:00:00,collision,Burmarrad,0,517,15.2,0.2,14.3,63.0,51.0
496804,0,2025-04-22 00:00:00,collision,Mosta,0,569,15.9,0.0,17.8,66.0,2.0
496805,0,2025-03-09 06:00:00,collision,Tal-Barrani,0,536,12.9,0.0,2.6,9.0,0.0
